SubjectID,researchdate,BrandID,Brand,CategoryNameDelivery,daily_ots,score,threshold,reason
945768468522226048,2025-08-21,369276,iqoo,Смартфоны,21608.626,0.9386942647543399,0.9353643479417053,daily_ots=21608.626; share=0.6296; deviation=3.778; robust_z=29.348
946553516040883456,2025-08-23,197627,adidas,Обувь,80387.805,0.9451214859263627,0.9353643479417053,daily_ots=80387.805; share=0.5388; deviation=7.005; robust_z=56.315
946914460040435776,2025-10-16,213474,nike,Обувь,172244.184,0.945997583577577,0.9353643479417053,daily_ots=172244.184; share=0.5578; deviation=8.367; robust_z=38.137
947494056560982336,2025-09-30,197627,adidas,Одежда,36074.090000000004,0.9433970390153945,0.9353643479417053,daily_ots=36074.09; share=0.6345; deviation=3.807; robust_z=32.716
1008811791543195049,2025-06-30,210322,lg,Крупная техника,24338.278,0.9383653306972362,0.9353643479417053,daily_ots=24338.278; share=0.5385; deviation=4.308; robust_z=22.379
1008814384946819138,2025-10-08,221896,xplode,Обувь,13715.344,0.9395180451258216,0.9353643479417053,daily_ots=13715.344; share=0.7214; deviation=2.886; robust_z=15.343
1018435448109585216,2025-07-02,207943,infinix,Смартфоны,54730.112,0.9408999728297001,0.9353643479417053,daily_ots=54730.112; share=0.5109; deviation=6.13; robust_z=24.707
1018435448109585216,2025-08-07,213619,nokia,Смартфоны,14160.996,0.9419298428169243,0.9353643479417053,daily_ots=14160.996; share=0.6575; deviation=3.945; robust_z=27.369
1161942649620631617,2025-06-28,238974,tecno spark,Смартфоны,31062.318,0.9475379083493755,0.9353643479417053,daily_ots=31062.318; share=0.6588; deviation=4.612; robust_z=36.126
1161942649620631617,2025-10-28,220042,toshiba,Крупная техника,50384.79,0.9387650809617131,0.9353643479417053,daily_ots=50384.79; share=0.7017; deviation=3.508; robust_z=9.443
1162022737893971328,2025-07-22,221229,vivo (электроника),Смартфоны,10073.696,0.9451778498465166,0.9353643479417053,daily_ots=10073.696; share=0.7824; deviation=3.13; robust_z=29.159
1224996632231164864,2025-06-26,221229,vivo (электроника),Смартфоны,39733.806000000004,0.9371123173953511,0.9353643479417053,daily_ots=39733.806; share=0.5203; deviation=4.683; robust_z=13.901
1233997180257176773,2025-09-08,307306,tecno camon,Смартфоны,25172.289000000004,0.9417645086511393,0.9353643479417053,daily_ots=25172.289; share=0.6112; deviation=4.278; robust_z=17.29
